cuisine_description,violation_code,count,rank
"Juice, Smoothies, Fruit Salads",08A,72,4
"Juice, Smoothies, Fruit Salads",04A,71,5
"Juice, Smoothies, Fruit Salads",06C,60,6
"Juice, Smoothies, Fruit Salads",04L,40,7
"Juice, Smoothies, Fruit Salads",04N,40,7
"Juice, Smoothies, Fruit Salads",08C,33,9
"Juice, Smoothies, Fruit Salads",06E,33,9
"Juice, Smoothies, Fruit Salads",04H,30,11
"Juice, Smoothies, Fruit Salads",09C,29,12
"Juice, Smoothies, Fruit Salads",02G,28,13
"Juice, Smoothies, Fruit Salads",10G,27,14
"Juice, Smoothies, Fruit Salads",06A,24,15
"Juice, Smoothies, Fruit Salads",06F,20,16
"Juice, Smoothies, Fruit Salads",02B,19,17
"Juice, Smoothies, Fruit Salads",10E,19,17
"Juice, Smoothies, Fruit Salads",04J,17,19
"Juice, Smoothies, Fruit Salads",04M,14,20
"Juice, Smoothies, Fruit Salads",09E,12,21
"Juice, Smoothies, Fruit Salads",10A,11,22
"Juice, Smoothies, Fruit Salads",05D,11,22
"Juice, Smoothies, Fruit Salads",10H,10,24
"Juice, Smoothies, Fruit Salads",10D,8,25
"Juice, Smoothies, Fruit Salads",,7,26
"Juice, Smoothies, Fruit Salads",03I,4,27
"Juice, Smoothies, Fruit Salads",05H,4,27
"Juice, Smoothies, Fruit Salads",03A,4,27
"Juice, Smoothies, Fruit Salads",09B,3,30
"Juice, Smoothies, Fruit Salads",04K,3,30
"Juice, Smoothies, Fruit Salads",08B,3,30
"Juice, Smoothies, Fruit Salads",02H,3,30
"Juice, Smoothies, Fruit Salads",28-05,3,30
"Juice, Smoothies, Fruit Salads",04E,2,35
"Juice, Smoothies, Fruit Salads",04C,2,35
"Juice, Smoothies, Fruit Salads",04O,2,35
"Juice, Smoothies, Fruit Salads",04P,2,35
"Juice, Smoothies, Fruit Salads",04D,2,35
"Juice, Smoothies, Fruit Salads",06B,2,35
"Juice, Smoothies, Fruit Salads",05E,2,35
"Juice, Smoothies, Fruit Salads",02I,1,42
"Juice, Smoothies, Fruit Salads",10C,1,42
"Juice, Smoothies, Fruit Salads",05C,1,42
"Juice, Smoothies, Fruit Salads",28-06,1,42
Sandwiches/Salads/Mixed Buffet,10F,70,1
Sandwiches/Salads/Mixed Buffet,10B,37,2
Sandwiches/Salads/Mixed Buffet,06D,28,3
Sandwiches/Salads/Mixed Buffet,08A,27,4
Sandwiches/Salads/Mixed Buffet,02G,21,5
Sandwiches/Salads/Mixed Buffet,04L,16,6
Sandwiches/Salads/Mixed Buffet,02B,16,6
Sandwiches/Salads/Mixed Buffet,06C,15,8
Sandwiches/Salads/Mixed Buffet,04N,14,9
Sandwiches/Salads/Mixed Buffet,06E,9,10
Sandwiches/Salads/Mixed Buffet,09C,6,11
Sandwiches/Salads/Mixed Buffet,08C,6,11
Sandwiches/Salads/Mixed Buffet,10A,5,13
Sandwiches/Salads/Mixed Buffet,04H,5,13
Sandwiches/Salads/Mixed Buffet,06F,5,13
Sandwiches/Salads/Mixed Buffet,04A,4,16
Sandwiches/Salads/Mixed Buffet,10G,4,16
Sandwiches/Salads/Mixed Buffet,10H,4,16
Sandwiches/Salads/Mixed Buffet,09B,3,19
Sandwiches/Salads/Mixed Buffet,06A,3,19
Sandwiches/Salads/Mixed Buffet,10D,3,19
Sandwiches/Salads/Mixed Buffet,03A,3,19
Sandwiches/Salads/Mixed Buffet,04M,2,23
Sandwiches/Salads/Mixed Buffet,09E,2,23
Sandwiches/Salads/Mixed Buffet,02C,2,23
Sandwiches/Salads/Mixed Buffet,05D,2,23
Sandwiches/Salads/Mixed Buffet,,2,23
Sandwiches/Salads/Mixed Buffet,10C,2,23
Sandwiches/Salads/Mixed Buffet,04O,1,29
Sandwiches/Salads/Mixed Buffet,10E,1,29
Sandwiches/Salads/Mixed Buffet,09A,1,29
Sandwiches/Salads/Mixed Buffet,04C,1,29
Sandwiches/Salads/Mixed Buffet,02H,1,29
Sandwiches/Salads/Mixed Buffet,02I,1,29
Sandwiches/Salads/Mixed Buffet,28-05,1,29
Sandwiches/Salads/Mixed Buffet,04K,1,29
